depth=0, S_A=-0.0, chi=2 
depth=1, S_A=-0.0, chi=2 
depth=2, S_A=0.9999999999999998, chi=2 
depth=3, S_A=1.0000000000000002, chi=2 
depth=4, S_A=0.921007211969683, chi=2 
depth=5, S_A=0.9419509866996024, chi=2 
depth=6, S_A=0.8495653311477984, chi=2 
depth=7, S_A=0.9033648425478877, chi=2 
depth=8, S_A=0.91471588072616, chi=2 
depth=9, S_A=0.8946817669965932, chi=2 
depth=10, S_A=0.9600537635783144, chi=2 
depth=11, S_A=0.9436199725237868, chi=2 
depth=12, S_A=0.8094613176331342, chi=2 
depth=13, S_A=0.9088465382225281, chi=2 
depth=14, S_A=0.5775925023339861, chi=2 
depth=0, S_A=-0.0, chi=4 
depth=1, S_A=-0.0, chi=4 
depth=2, S_A=0.9999999999999998, chi=4 
depth=3, S_A=2.0, chi=4 
depth=4, S_A=1.5142106250801344, chi=4 
depth=5, S_A=1.5291514332819744, chi=4 
depth=6, S_A=1.3027341212326948, chi=4 
depth=7, S_A=1.712844190261579, chi=4 
depth=8, S_A=1.2651036733146928, chi=4 
depth=9, S_A=1.8028842029500103, chi=4 
depth=10, S_A=1.5329977117940903, chi=4 
depth=11, S_A=1.4509867653056976, chi=4 
depth=12, S_A=1.3764327382096795, chi=4 
depth=13, S_A=1.332094155313008, chi=4 
depth=14, S_A=1.2181256337196167, chi=4 
depth=0, S_A=-0.0, chi=8 
depth=1, S_A=-0.0, chi=8 
depth=2, S_A=0.9999999999999998, chi=8 
depth=3, S_A=2.0, chi=8 
depth=4, S_A=1.5142106250801344, chi=8 
depth=5, S_A=1.5291514332819744, chi=8 
depth=6, S_A=1.302734121232695, chi=8 
depth=7, S_A=1.712844190261579, chi=8 
depth=8, S_A=1.2651036733146928, chi=8 
depth=9, S_A=1.8028842029500103, chi=8 
depth=10, S_A=1.5329977117940903, chi=8 
depth=11, S_A=1.4509867653056976, chi=8 
depth=12, S_A=1.3764327382096795, chi=8 
depth=13, S_A=1.332094155313008, chi=8 
depth=14, S_A=1.2181256337196167, chi=8 
depth=0, S_A=-0.0, chi=16 
depth=1, S_A=-0.0, chi=16 
depth=2, S_A=0.9999999999999998, chi=16 
depth=3, S_A=2.0, chi=16 
depth=4, S_A=1.5142106250801344, chi=16 
depth=5, S_A=1.5291514332819744, chi=16 
depth=6, S_A=1.3027341212326948, chi=16 
depth=7, S_A=1.712844190261579, chi=16 
depth=8, S_A=1.265103673314693, chi=16 
depth=9, S_A=1.8028842029500103, chi=16 
depth=10, S_A=1.5329977117940903, chi=16 
depth=11, S_A=1.4509867653056976, chi=16 
depth=12, S_A=1.3764327382096795, chi=16 
depth=13, S_A=1.332094155313008, chi=16 
depth=14, S_A=1.2181256337196167, chi=16 
depth=0, S_A=-0.0, chi=32 
depth=1, S_A=-0.0, chi=32 
depth=2, S_A=0.9999999999999998, chi=32 
depth=3, S_A=2.0, chi=32 
depth=4, S_A=1.5142106250801344, chi=32 
depth=5, S_A=1.5291514332819744, chi=32 
depth=6, S_A=1.3027341212326948, chi=32 
depth=7, S_A=1.712844190261579, chi=32 
depth=8, S_A=1.265103673314693, chi=32 
depth=9, S_A=1.8028842029500094, chi=32 
depth=10, S_A=1.5329977117940903, chi=32 
depth=11, S_A=1.4509867653056976, chi=32 
depth=12, S_A=1.3764327382096795, chi=32 
depth=13, S_A=1.332094155313008, chi=32 
depth=14, S_A=1.2181256337196167, chi=32 
depth=0, S_A=-0.0, chi=64 
depth=1, S_A=-6.406853007629837e-16, chi=64 
depth=2, S_A=0.9999999999999998, chi=64 
depth=3, S_A=2.0, chi=64 
depth=4, S_A=1.5142106250801344, chi=64 
depth=5, S_A=1.5291514332819744, chi=64 
depth=6, S_A=1.302734121232695, chi=64 
depth=7, S_A=1.712844190261579, chi=64 
depth=8, S_A=1.265103673314693, chi=64 
depth=9, S_A=1.8028842029500094, chi=64 
depth=10, S_A=1.5329977117940903, chi=64 
depth=11, S_A=1.4509867653056978, chi=64 
depth=12, S_A=1.3764327382096795, chi=64 
depth=13, S_A=1.332094155313008, chi=64 
depth=14, S_A=1.2181256337196167, chi=64 
